Question Number,Question,Answer 1(correct one),Answer 2,Answer 3,Answer 4,image_path
1,Wie heißt das abgebildete Segel?,Genua,Großsegel,Rasegel,Sturmfock,A/image_1.png
2,Wie heißt das abgebildete Segel?,Großsegel,Fock,Sturmfock,Spinnaker,A/image_2.png
3,Wie heißt das abgebildete Segel?,Spinnaker,Genua,Großsegel,Rasegel,A/image_3.png
4,Wie heißt das abgebildete Segel?,Sturmfock,Großsegel,Spinnaker,Rasegel,A/image_4.png
5,Wie heißt das abgebildete Segel?,Stagsegel,Spinnaker,Großsegel,Rasegel,A/image_5.png
6,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Baumniederholer,Baumsenker,Mastniederholer,Baumstrecker,A/image_6.png
7,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Unterliekstrecker,Vorliekstrecker,Unterliekspanner,Kantenspanner,A/image_7.png
8,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Block,Umlenkrolle,Leinenrolle,Lenkscheibe,A/image_8.png
9,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Pinnenausleger,Pinnenverlängerung,Pinnenansteuerung,Pinnenstock,A/image_9.png
10,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Saling,Wantspreize,Stagspreize,Querbaum,A/image_10.png
11,Wozu dient die Saling?,"Abspreizung der Wanten, um ein Durchbiegen des Mastes zu verringern","Abspreizung der Stage, um ein Durchbiegen des Mastes zu verringern","Abspreizung von Fallen, um einen besseren Angriffspunkt am Segel zu erreichen",Bessere Anströmung der Segel,
12,Wozu dient der Bauniederholer?,Verhindert das Aufsteigen des Baumes bei raumen Kursen,Bewirkt ein Aufsteigen des Baumes bei raumen Kursen,DasVorsegel kann dichter gefahren werden,Das Vorliek des Großsegels wird gestreckt,
13,Wozu dient das Großfall?,Zum aufheißen des Großsegels,Zum Spannen des Großsegel-Vorstags,Zum Spannen des Großsegelunterlieks,Zum Trimmen des Mastes,
14,Wozu dient das Fockfall?,Zum aufheißen des Focks,Zum Aufheißen des Großsegels,Zum Spannen des Fock Unterlieks,Zum Trimmen des Mastes,
15,Wozu dient der Traveller?,Zum besseren Trimmen des Großsegels,Zum besseren Trimmen des Vorsegels,Wird nur für den Spinnaker verwendet,Zum Besseren Ausreiten der Jolle,
16,Welche Leinen dienen zur Abstützung des Mastes?,Wanten und Stage,Fallen und Strecker,Leinen und Springs,Stopper und Klüsen,
17,Was ist das laufende Gut?,"Alle Leinen in der Takelage, die nicht zum Abstützen des Mastes dienen",Wanten und Stage,"Alle Leinen in der Takelage, die zur Abstützung des Mastes dienen","Alle Leinen an Bord, die durch Blöcke laufen",
