"Question Number","Question","Answer 1(correct one)","Answer 2","Answer 3","Answer 4","FB2/image_path"
"1","Wie belegen Sie eine Klampe korrekt","Mit Kreuzschlägen und Kopfschlag","Mit einem Achterknoten","Mit einem Schotstek","Mit einem Palstek",""
"2","Welcher Moment ist bei Anker auf am kritischsten","Der Moment, in dem der Anker aus dem Grund bricht, aber noch im Wasser ist","Der Moment, in dem die Ankerwinsch Zug auf den Anker gibt","Der Moment, in dem die Jacht Fahrt aufnimmt","Der Moment, an dem der Anker an Deck gelangt",""
"3","Welchen Knoten verwenden Sie, um zwei verschieden starke Leinen zu verbinden","Einen Schotstek","Einen Webeleinstek","2 halbe Schläge","Einen Kreuzknoten",""
"4","Was ist eine Gastlandflagge","Die Nationalflagge des Landes, in dessen Hoheitsgewässern sich die Jacht befindet","Die Nationalflagge des Landes, in dem die Jacht hergestellt wurde","Die Nationalflagge des Landes, aus dem die Crew stammt","Die Nationalflagge des Landes, aus dem die Jacht kommt",""
"5","Was kontrollieren Sie vor dem Starten der Maschine","Ob sich Leinen im Wasser in der Nähe des Propellers befinden","Ob Kühlwasser aus dem Auspuff spritzt","Ob alle Festmacherleinen korrekt belegt sind","Ob alle Crewmitglieder an den Ihnen zugewiesenen Plätzen sind",""
"6","Welche Drehzahl wählen Sie bei längeren Fahrten unter Maschine","Die Drehzahl, bei der das Verhältnis Reichweite/Verbrauch am Besten ist","Die Drehzahl, die die höchste Fahrtgeschwindigkeit ermöglicht","Die Drehzahl, die den geringsten Stundenverbrauch ermöglicht","Die Drehzahl, bei der die Maschine das höchste Drehmoment hat",""
"7","Was tun Sie mit Leinen, die Sie nicht benötigen","Nicht benötigte Leinen sollten zu einem Bunsch aufgeschossen in der Backskiste verstaut werden","Am besten sollten Leinen so liegen gelassen werden, wie sie fallen, da sich dann keine Knoten bilden können","Nicht benötigte Leinen werden lose in die Backskiste gelegt","Nicht mehr benötigte Leinen müssen an geeigneter Stelle im Hafen entsorgt werden",""
"8","Woran befestigen Sie bevorzugt ihre Vorleine an einer Boje","An der Leine oder Kette, mit der die Boje am Grund verankert ist","An dem Fangring auf der Boje","An der Boje selbst","An der Boje befindet sich eine sichere Leine, die an Bord belegt wird",""
"9","Was tun Sie, nachdem Sie den Anker eingefahren haben","Entlasten der Ankerwinsch, zB durch Einbinden einer Leine, die auf der Bugklampe belegt wird","Dichtholen der Ankerkette, damit der Schwojradius verringert wird","Nichts, nach dem Einfahren des Ankers ist das Ankermanöver abgeschlossen","Einbinden eines Reitgewichts, damit die Kette in der Ankerwinsch höher belastet wird",""
"10","Was ist bei Manövern mit 2 Maschinen zu beachten","Dass unterschiedliche Drehzahlen bei geringen Geschwindigkeiten zu einer Drehung der Jacht führen","Dass das Ruderblatt von den Maschinen nicht angeströmt wird","Manöver mit 2 Maschinen unterscheiden sich nicht wesentlich von Manövern mit nur einer Maschine","Dass die Jacht schneller auf Ruderlagen reagiert",""
"11","Wann ist der Radeffekt besonders groß","Bei Wellenantrieb in Retourfahrt","Bei einem Jetantrieb","Bei geringer Drehzahl","Bei Wellenantrieb in Vorausfahrt",""
"12","Welche Pflichten hat ein Crewmitglied","Es hat die Anweisungen des Schiffsführers die Schiffsführung betreffend zu befolgen","Ein Crewmitglied hat keine besonderen Pflichten","Es hat sich nach besten Wissen an der Schiffsführung zu beteiligen","Es hat sämtliche Behördenwege für den Schiffsführer zu erledigen",""
